id,date,price,coin,version,lag_1,lag_2,lag_3,lag_7,lag_14,rolling_mean_3,rolling_std_3,rolling_mean_7,rolling_std_7,rolling_max_7,rolling_min_7,price_diff,pct_change_1,pct_change_7,day_of_week,day_of_month,month,is_weekend,exp_moving_avg_10,volatility_10,target
1,2024-07-01,62734.39,bitcoin,1,,,,,,,,,,,,,,,0,1,7,0,62734.39,,62819.82
2,2024-07-02,62819.82,bitcoin,1,62734.39,,,,,,,,,,,85.43000000000029,0.0013617730243331572,,1,2,7,0,62749.92272727272,,62042.57
3,2024-07-03,62042.57,bitcoin,1,62819.82,62734.39,,,,62532.26,426.2297423925241,,,,,-777.25,-0.012372687473475752,,2,3,7,0,62621.313140495855,,60244.68
4,2024-07-04,60244.68,bitcoin,1,62042.57,62819.82,62734.39,,,61702.35666666667,1320.8502333850402,,,,,-1797.8899999999994,-0.02897832891190677,,3,4,7,0,62189.19802404205,,57704.2
5,2024-07-05,57704.2,bitcoin,1,60244.68,62042.57,62819.82,,,59997.149999999994,2179.7515660964527,,,,,-2540.480000000003,-0.04216936665610982,,4,5,7,0,61373.743837852584,,57704.2
6,2024-07-06,57704.2,bitcoin,1,57704.2,60244.68,62042.57,,,58551.026666666665,1466.7468118708205,,,,,0.0,0.0,,5,6,7,1,60706.55404915211,,58230.48
7,2024-07-07,58230.48,bitcoin,1,57704.2,57704.2,60244.68,,,57879.62666666667,303.8478996688706,60211.47714285714,2345.9103509633824,62819.82,57704.2,526.2800000000061,0.009120306667452338,,6,7,7,1,60256.358767488084,,57704.2
8,2024-07-08,57704.2,bitcoin,1,58230.48,57704.2,57704.2,62734.39,,57879.62666666667,303.8478996688706,59492.87857142857,2210.8231606834315,62819.82,57704.2,-526.2800000000061,-0.00903787844441617,-0.0801823369925172,0,8,7,0,59792.32990067207,,57704.2
9,2024-07-09,57704.2,bitcoin,1,57704.2,58230.48,57704.2,62819.82,,57879.62666666667,303.8478996688706,58762.07571428571,1718.466192935402,62042.57,57704.2,0.0,0.0,-0.08143321645939139,1,9,7,0,59412.66991873169,,57988.3
10,2024-07-10,57988.3,bitcoin,1,57704.2,57704.2,58230.48,62042.57,,57798.9,164.02521147630205,58182.894285714276,931.6369593866602,60244.68,57704.2,284.1000000000058,0.004923385126212709,-0.06534658380528069,2,10,7,0,59153.69356987138,2243.4272039805514,57704.2
