id,date,price,coin,version,lag_1,lag_2,lag_3,lag_7,lag_14,rolling_mean_3,rolling_std_3,rolling_mean_7,rolling_std_7,rolling_max_7,rolling_min_7,price_diff,pct_change_1,pct_change_7,day_of_week,day_of_month,month,is_weekend,exp_moving_avg_10,volatility_10,target
1,2024-07-01,146.43,solana,1,,,,,,,,,,,,,,,0,1,7,0,146.43,,146.35
2,2024-07-02,146.35,solana,1,146.43,,,,,,,,,,,-0.0800000000000125,-0.0005463361333061245,,1,2,7,0,146.41545454545454,,153.64
3,2024-07-03,153.64,solana,1,146.35,146.43,,,,148.80666666666664,4.185980570109394,,,,,7.289999999999992,0.04981209429449951,,2,3,7,0,147.72900826446278,,140.72
4,2024-07-04,140.72,solana,1,153.64,146.35,146.43,,,146.90333333333334,6.47774909465728,,,,,-12.919999999999987,-0.0840926841968237,,3,4,7,0,146.45464312546954,,127.93
5,2024-07-05,127.93,solana,1,140.72,153.64,146.35,,,140.76333333333335,12.855054777531382,,,,,-12.789999999999992,-0.09088971006253543,,4,5,7,0,143.086526193566,,134.42
6,2024-07-06,134.42,solana,1,127.93,140.72,153.64,,,134.35666666666665,6.395235205473822,,,,,6.489999999999981,0.05073086844368002,,5,6,7,1,141.51079415837216,,143.1
7,2024-07-07,143.1,solana,1,134.42,127.93,140.72,,,135.15,7.611300808665915,141.79857142857142,8.485504166069376,153.64,127.93,8.680000000000007,0.06457372414819229,,6,7,7,1,141.79974067503176,,131.85
8,2024-07-08,131.85,solana,1,143.1,134.42,127.93,146.43,,136.45666666666668,5.895051597173,139.71571428571426,8.93661542409065,153.64,127.93,-11.25,-0.07861635220125784,-0.09956976029502163,0,8,7,0,139.99069691593508,,139.32
9,2024-07-09,139.32,solana,1,131.85,143.1,134.42,146.35,,138.09,5.724971615650045,138.71142857142857,8.448483944020994,153.64,127.93,7.469999999999999,0.05665529010238912,-0.0480355312606765,1,9,7,0,139.8687520221287,,141.46
10,2024-07-10,141.46,solana,1,139.32,131.85,143.1,153.64,,137.54333333333332,5.045337781886563,136.97142857142856,5.653324769759874,143.1,127.93,2.140000000000015,0.015360321561872059,-0.07927623014839869,2,10,7,0,140.1580698362871,7.608170754013219,141.92
11,2024-07-11,141.92,solana,1,141.46,139.32,131.85,140.72,,140.89999999999998,1.3875157656757404,137.14285714285714,5.802174058878566,143.1,127.93,0.45999999999997954,0.003251802629718581,0.008527572484366086,3,11,7,0,140.47842077514397,7.348274854231651,136.07
12,2024-07-12,136.07,solana,1,141.92,141.46,139.32,127.93,,139.8166666666667,3.252850032407272,138.30571428571426,4.258324620250112,143.1,131.85,-5.849999999999994,-0.041220405862457676,0.06362854686156472,4,12,7,0,139.6768897251178,7.086674584504823,139.36
13,2024-07-13,139.36,solana,1,136.07,141.92,141.46,134.42,,139.11666666666667,2.9325813430034477,139.01142857142855,3.9014203762707647,143.1,131.85,3.2900000000000205,0.024178731535239306,0.03675048355899446,5,13,7,1,139.61927341146,4.928656003415139,141.68
14,2024-07-14,141.68,solana,1,139.36,136.07,141.92,143.1,,139.03666666666666,2.8189418818648844,138.80857142857144,3.6842748204199847,141.92,131.85,2.319999999999993,0.01664753157290466,-0.009923130677847558,6,14,7,1,139.99395097301272,5.004618866607135,147.95
15,2024-07-15,147.95,solana,1,141.68,139.36,136.07,131.85,146.43,142.99666666666667,4.443785923436459,141.10857142857142,3.641366174809615,147.95,136.07,6.269999999999982,0.044254658385093126,0.12210845657944636,0,15,7,0,141.44050534155585,4.648835099008968,159.92
16,2024-07-16,159.92,solana,1,147.95,141.68,139.36,139.32,146.35,149.85,9.267248782675434,144.05142857142854,7.848622869802154,159.92,136.07,11.969999999999999,0.08090571138898284,0.14786103933390748,1,16,7,0,144.80041346127294,7.5261544703195415,160.78
17,2024-07-17,160.78,solana,1,159.92,147.95,141.68,141.46,153.64,156.21666666666667,7.172045268494433,146.81142857142854,9.911371295253849,160.78,136.07,0.8600000000000136,0.005377688844422357,0.13657571044818329,2,17,7,0,147.7057928319506,9.549330924787908,155.4
18,2024-07-18,155.4,solana,1,160.78,159.92,147.95,141.92,140.72,158.7,2.8900519026481386,148.73714285714283,10.11014789586146,160.78,136.07,-5.3799999999999955,-0.033461873367334194,0.09498308906426178,3,18,7,0,149.10473958977775,9.1050940565036,159.01
19,2024-07-19,159.01,solana,1,155.4,160.78,159.92,136.07,127.93,158.39666666666668,2.7419397027165755,152.0142857142857,8.973924925662713,160.78,139.36,3.609999999999985,0.023230373230373136,0.16858969647975308,4,19,7,0,150.90569602799997,9.526524666541386,169.22
20,2024-07-20,169.22,solana,1,159.01,155.4,160.78,139.36,134.42,161.21,7.1678518399866675,156.28,9.052802512666235,169.22,141.68,10.210000000000008,0.064209798125904,0.21426521239954055,5,20,7,1,154.2355694774545,11.192941674704308,174.1
21,2024-07-21,174.1,solana,1,169.22,159.01,155.4,141.68,143.1,167.44333333333333,7.700287873406691,160.91142857142856,8.6213000345492,174.1,147.95,4.8799999999999955,0.028838198794468806,0.22882552230378317,6,21,7,1,157.8472841179173,12.765903763106152,184.45
22,2024-07-22,184.45,solana,1,174.1,169.22,159.01,147.95,131.85,175.92333333333332,7.776993849382582,166.1257142857143,10.341704980551652,184.45,155.4,10.349999999999994,0.05944859276277992,0.24670496789455898,0,22,7,0,162.68414155102323,14.160196993293827,178.98
23,2024-07-23,178.98,solana,1,184.45,174.1,169.22,159.92,139.32,179.17666666666665,5.177801978961212,168.8485714285714,10.928016637023083,184.45,155.4,-5.469999999999999,-0.029655733261046313,0.11918459229614808,1,23,7,0,165.64702490538264,13.52478831216546,173.03
24,2024-07-24,173.03,solana,1,178.98,184.45,174.1,160.78,141.46,178.82000000000002,5.711681013502181,170.59857142857143,10.388088416661999,184.45,155.4,-5.949999999999989,-0.033243937870153006,0.07619106854086333,2,24,7,0,166.98938401349488,11.473220220244222,178.02
25,2024-07-25,178.02,solana,1,173.03,178.98,184.45,155.4,141.92,176.67666666666665,3.194375264951612,173.82999999999998,8.149237183115613,184.45,159.01,4.990000000000009,0.028838929665375934,0.1455598455598457,3,25,7,0,168.9949505564958,9.977144381034018,171.7
26,2024-07-26,171.7,solana,1,178.02,173.03,178.98,159.01,136.07,174.25,3.331951380197732,175.64285714285714,5.16977986083855,184.45,169.22,-6.320000000000022,-0.03550162903044618,0.07980630149047219,4,26,7,0,169.48677772804203,9.428099195725675,183.08
27,2024-07-27,183.08,solana,1,171.7,178.02,173.03,169.22,139.36,177.6,5.70161380663417,177.62285714285716,4.949325591384411,184.45,171.7,11.380000000000024,0.0662783925451369,0.08190521214986424,5,27,7,1,171.95827268657982,9.518596360108216,184.67
28,2024-07-28,184.67,solana,1,183.08,171.7,178.02,174.1,141.68,179.8166666666667,7.074053529153881,179.13285714285712,5.295689172292232,184.67,171.7,1.589999999999975,0.008684727987764873,0.06071223434807571,6,28,7,1,174.2694958344744,7.98477189544077,184.79
29,2024-07-29,184.79,solana,1,184.67,183.08,171.7,184.45,147.95,184.17999999999998,0.9545155839485313,179.18142857142857,5.353825512571084,184.79,171.7,0.12000000000000455,0.0006498077652028478,0.0018433179723502668,0,29,7,0,176.18231477366086,5.9182940484942765,182.54
30,2024-07-30,182.54,solana,1,184.79,184.67,183.08,178.98,159.92,184.0,1.2658198924020148,179.69000000000003,5.49863013243689,184.79,171.7,-2.25,-0.012175983548893377,0.01989049055760428,1,30,7,0,177.33825754208615,5.116229514441533,179.04
31,2024-07-31,179.04,solana,1,182.54,184.79,184.67,173.03,160.78,182.12333333333333,2.8975564417857678,180.54857142857145,4.696035308540342,184.79,171.7,-3.5,-0.019173879697600538,0.03473386118014221,2,31,7,0,177.64766526170686,4.759059197408933,171.97
32,2024-08-01,171.97,solana,1,179.04,182.54,184.79,178.02,155.4,177.85,5.38454269181713,179.68428571428572,5.690427216367111,184.79,171.7,-7.069999999999993,-0.03948838248436104,-0.03398494551174036,3,1,8,0,176.61536248685107,5.095640402452804,167.89
33,2024-08-02,167.89,solana,1,171.97,179.04,182.54,171.7,159.01,172.96666666666667,5.641421215734133,179.14000000000001,6.6779288206256595,184.79,167.89,-4.0800000000000125,-0.023725068325870846,-0.022189866045428053,4,2,8,0,175.02893294378723,6.146250980159328,152.41
34,2024-08-03,152.41,solana,1,167.89,171.97,179.04,183.08,169.22,164.09,10.318837143787228,174.75857142857143,11.776808323383808,184.79,152.41,-15.47999999999999,-0.09220322830424676,-0.16752239458160378,5,3,8,1,170.91639968128047,10.07819918878802,143.13
35,2024-08-04,143.13,solana,1,152.41,167.89,171.97,184.67,174.1,154.47666666666666,12.508706301346157,168.8242857142857,15.746847152306415,184.79,143.13,-9.280000000000001,-0.060888393150055786,-0.22494178805436726,6,4,8,1,165.86432701195673,14.304668080346636,137.56
36,2024-08-05,137.56,solana,1,143.13,152.41,167.89,184.79,184.45,144.36666666666665,7.501841996025911,162.07714285714286,17.756046589153602,182.54,137.56,-5.569999999999993,-0.03891567106825955,-0.255587423561881,0,5,8,0,160.71808573705547,18.01052642823695,129.7
37,2024-08-06,129.7,solana,1,137.56,143.13,152.41,182.54,178.98,136.79666666666665,6.747461250969806,154.52857142857144,18.807567119443725,179.04,129.7,-7.860000000000014,-0.057138703111369704,-0.28947080092034627,1,6,8,0,155.07843378486356,20.94845207752698,143.64
38,2024-08-07,143.64,solana,1,129.7,137.56,143.13,179.04,173.03,136.96666666666667,6.988915032631244,149.47142857142856,15.604889648836947,171.97,129.7,13.939999999999998,0.10747879722436382,-0.19772117962466496,2,7,8,0,152.998718551252,20.32178800641761,145.14
39,2024-08-08,145.14,solana,1,143.64,129.7,137.56,171.97,178.02,139.4933333333333,8.51437216319199,145.63857142857142,12.047236790472326,167.89,129.7,1.5,0.010442773600668254,-0.15601558411350824,3,8,8,0,151.56986063284253,18.58228535161621,163.05
40,2024-08-09,163.05,solana,1,145.14,143.64,129.7,167.89,171.7,150.60999999999999,10.7994305405426,144.94714285714286,10.610535195872668,163.05,129.7,17.910000000000025,0.12339809838776383,-0.028828399547322525,4,9,8,0,153.65715869959843,16.288539972767552,156.48
41,2024-08-10,156.48,solana,1,163.05,145.14,143.64,152.41,183.08,154.89,9.060248340967451,145.52857142857144,11.183670280921946,163.05,129.7,-6.570000000000022,-0.04029438822447118,0.026704284495767894,5,10,8,1,154.1704025723987,13.690668395338246,153.89
42,2024-08-11,153.89,solana,1,156.48,163.05,145.14,143.13,184.67,157.80666666666664,4.721909924314129,147.06571428571425,11.533050849829742,163.05,129.7,-2.5900000000000034,-0.01655163599182008,0.07517641305107237,6,11,8,1,154.11942028650802,11.673044399622505,141.47
43,2024-08-12,141.47,solana,1,153.89,156.48,163.05,137.56,184.79,150.61333333333332,8.023554906233086,147.6242857142857,11.081794164518614,163.05,129.7,-12.419999999999987,-0.08070699850542584,0.02842396045362028,0,12,8,0,151.8195256889611,9.841395621444208,146.52
44,2024-08-13,146.52,solana,1,141.47,153.89,156.48,129.7,182.54,147.29333333333332,6.246009392671252,150.02714285714282,7.92002044249395,163.05,141.47,5.050000000000011,0.03569661412313563,0.12968388589051671,1,13,8,0,150.85597556369544,9.632193473509277,146.77
45,2024-08-14,146.77,solana,1,146.52,141.47,153.89,143.64,179.04,144.92000000000002,2.9904013108619063,150.47428571428574,7.580393255284346,163.05,141.47,0.25,0.0017062517062516047,0.02179058758006147,2,14,8,0,150.11307091575082,9.577874735266063,143.87
46,2024-08-15,143.87,solana,1,146.77,146.52,141.47,145.14,171.97,145.72,1.6070158680002204,150.29285714285714,7.742800342437837,163.05,141.47,-2.9000000000000057,-0.01975880629556448,-0.008750172247485088,3,15,8,0,148.97796711288703,9.126379408676506,142.88
47,2024-08-16,142.88,solana,1,143.87,146.77,146.52,163.05,167.89,144.50666666666666,2.021641247436851,147.4114285714286,5.683207511524125,156.48,141.47,-0.9900000000000091,-0.0068812122054633384,-0.12370438515792714,4,16,8,0,147.86924581963484,7.059534844607353,139.12
48,2024-08-17,139.12,solana,1,142.88,143.87,146.77,156.48,152.41,141.95666666666668,2.5059994679445357,144.93142857142857,4.782765687240269,153.89,139.12,-3.759999999999991,-0.02631578947368418,-0.1109406952965234,5,17,8,1,146.2784738524285,7.525430146436288,141.69
