coin,timestamp,price,market_cap,volume,price_change_24h,price_change_percentage_24h
bitcoin,2024-07-01,62734.39,1236676710888.48,17373592048.12,,
bitcoin,2024-07-02,62819.82,1238799172479.87,25573074910.69,85.43,0.14
bitcoin,2024-07-03,62042.57,1222901857941.06,18100530101.69,-777.26,-1.24
bitcoin,2024-07-04,60244.68,1186937170314.93,30348692427.02,-1797.88,-2.9
bitcoin,2024-07-05,57189.17,1130121668991.05,43112005394.93,-3055.51,-5.07
bitcoin,2024-07-06,56739.86,1118490666778.46,60081357583.28,-449.31,-0.79
bitcoin,2024-07-07,58230.48,1147176330416.14,21293913670.92,1490.62,2.63
bitcoin,2024-07-08,55880.38,1100452083927.7,20211914621.33,-2350.11,-4.04
bitcoin,2024-07-09,56665.14,1117615464651.69,41614266908.3,784.77,1.4
bitcoin,2024-07-10,57988.3,1144794688186.96,28413854577.26,1323.16,2.34
bitcoin,2024-07-11,57704.2,1139350681822.59,25987656347.28,-284.1,-0.49
bitcoin,2024-07-12,57388.19,1130276546536.14,29196653598.75,-316.01,-0.55
bitcoin,2024-07-13,57899.29,1141567375406.19,25504482306.2,511.1,0.89
bitcoin,2024-07-14,59152.72,1168371787725.71,16765547593.24,1253.43,2.16
bitcoin,2024-07-15,60942.33,1204059167828.7,21295520563.65,1789.61,3.03
bitcoin,2024-07-16,64835.49,1277806993830.52,37810068492.86,3893.16,6.39
bitcoin,2024-07-17,65162.24,1284899538175.18,40914441633.1,326.75,0.5
bitcoin,2024-07-18,64136.31,1266016458007.35,33459451713.59,-1025.92,-1.57
bitcoin,2024-07-19,63959.57,1261456293182.26,25976148878.63,-176.74,-0.28
bitcoin,2024-07-20,66689.55,1316147398343.72,36994610752.23,2729.98,4.27
bitcoin,2024-07-21,67206.06,1325658979468.0,17353396168.04,516.52,0.77
bitcoin,2024-07-22,68088.14,1343346742483.08,27078771827.95,882.08,1.31
bitcoin,2024-07-23,67607.71,1333201881091.78,43157593651.8,-480.43,-0.71
bitcoin,2024-07-24,65942.42,1300963591115.54,36100536095.19,-1665.3,-2.46
