coin,timestamp,price,market_cap,volume,price_change_24h,price_change_percentage_24h
cardano,2024-07-01,0.39,13888718240.6,196743386.11,,
cardano,2024-07-02,0.4,14254889823.05,257983126.28,0.01,2.73
cardano,2024-07-03,0.42,14788214926.93,259226764.96,0.01,3.64
cardano,2024-07-04,0.41,14388819255.48,385253639.3,-0.01,-2.61
cardano,2024-07-05,0.36,12918224764.84,502836292.3,-0.04,-10.67
cardano,2024-07-06,0.35,12390739992.04,795077527.7,-0.01,-3.67
cardano,2024-07-07,0.37,13131781878.68,293872603.77,0.02,6.05
cardano,2024-07-08,0.35,12239224009.22,254417135.59,-0.03,-6.76
cardano,2024-07-09,0.37,13064901483.0,510512677.84,0.02,6.64
cardano,2024-07-10,0.38,13321646488.87,273879579.88,0.01,1.74
cardano,2024-07-11,0.39,13793489031.52,256036687.99,0.01,3.63
cardano,2024-07-12,0.4,14006180738.39,323634001.94,0.01,1.76
cardano,2024-07-13,0.42,14736259473.86,361088875.8,0.02,5.14
cardano,2024-07-14,0.44,15696671133.2,369887970.39,0.02,5.93
cardano,2024-07-15,0.43,15389261477.03,357667615.86,-0.01,-1.85
cardano,2024-07-16,0.45,15809754095.18,471015709.1,0.01,3.02
cardano,2024-07-17,0.44,15565014019.1,484115409.87,-0.01,-1.67
cardano,2024-07-18,0.44,15573835295.59,403166393.41,-0.0,-0.32
cardano,2024-07-19,0.42,15084597527.15,352642024.35,-0.01,-2.95
cardano,2024-07-20,0.44,15598416802.85,355615695.45,0.01,3.48
cardano,2024-07-21,0.44,15573864919.58,251448410.8,-0.0,-0.19
cardano,2024-07-22,0.45,15885001582.03,347379030.48,0.01,1.96
cardano,2024-07-23,0.43,15165017148.11,543957075.94,-0.02,-4.49
cardano,2024-07-24,0.41,14601252164.0,346413170.34,-0.02,-3.78
cardano,2024-07-25,0.41,14467949569.58,369094906.48,-0.0,-0.88
cardano,2024-07-26,0.39,14039569115.9,384548480.44,-0.01,-2.96
cardano,2024-07-27,0.42,14855787516.44,298119701.42,0.02,5.82
cardano,2024-07-28,0.42,14892946897.78,517865579.06,0.0,0.22
cardano,2024-07-29,0.41,14496829995.96,313248714.7,-0.01,-2.65
cardano,2024-07-30,0.4,14382798538.43,352952671.87,-0.0,-0.87
cardano,2024-07-31,0.4,14299794003.35,293289394.71,-0.0,-0.6
cardano,2024-08-01,0.39,13828446805.43,295713023.42,-0.01,-3.18
cardano,2024-08-02,0.39,13961987161.0,553969159.52,0.0,0.91
cardano,2024-08-03,0.36,12955584023.44,407657318.13,-0.03,-7.21
cardano,2024-08-04,0.36,12954368774.86,336033157.76,0.0,0.01
cardano,2024-08-05,0.34,12253084853.0,359691333.92,-0.02,-5.65
cardano,2024-08-06,0.31,11179570014.58,1272441679.83,-0.03,-8.55
cardano,2024-08-07,0.33,11762281480.17,444867355.5,0.02,5.15
cardano,2024-08-08,0.32,11544158593.4,365055858.14,-0.01,-1.96
cardano,2024-08-09,0.35,12507851860.37,351120976.39,0.03,8.72
cardano,2024-08-10,0.35,12378005423.53,309697848.67,-0.0,-1.13
cardano,2024-08-11,0.35,12316694885.45,162207002.47,-0.0,-0.66
cardano,2024-08-12,0.33,11685176805.93,227949101.4,-0.02,-5.09
cardano,2024-08-13,0.34,12071395381.54,309223630.86,0.01,3.27
cardano,2024-08-14,0.34,12119309357.28,223898273.02,0.0,0.43
cardano,2024-08-15,0.34,11934500878.53,227870638.58,-0.01,-1.49
cardano,2024-08-16,0.33,11579226025.98,268148926.17,-0.01,-2.94
cardano,2024-08-17,0.33,11750073596.1,331289349.75,0.0,1.37
cardano,2024-08-18,0.34,11990796698.92,169540463.59,0.01,2.09
cardano,2024-08-19,0.33,11909914292.22,159261325.83,-0.0,-0.75
cardano,2024-08-20,0.34,11993838867.74,234219776.22,0.0,0.8
cardano,2024-08-21,0.34,12234407936.07,261802227.6,0.01,1.97
cardano,2024-08-22,0.37,13152167710.17,395997347.3,0.03,7.43
cardano,2024-08-23,0.38,13413340885.01,287528421.88,0.01,2.02
cardano,2024-08-24,0.39,13917257116.02,408438172.9,0.01,3.79
cardano,2024-08-25,0.39,14045674849.37,297460621.42,0.0,0.96
cardano,2024-08-26,0.38,13701403869.41,308320232.95,-0.01,-2.56
