coin,timestamp,price,market_cap,volume,price_change_24h,price_change_percentage_24h
ethereum,2024-07-01,3435.32,412683392973.91,7498532249.33,,
ethereum,2024-07-02,3438.01,413087026853.56,11834316021.63,2.69,0.08
ethereum,2024-07-03,3417.9,410850514007.59,8478511086.95,-20.11,-0.58
ethereum,2024-07-04,3295.81,395971730267.6,15473856746.25,-122.09,-3.57
ethereum,2024-07-05,3069.04,369571668593.03,19209988737.69,-226.77,-6.88
ethereum,2024-07-06,2984.4,358878418412.55,31755421068.59,-84.65,-2.76
ethereum,2024-07-07,3066.25,368279414918.99,9871087552.27,81.85,2.74
ethereum,2024-07-08,2928.6,350977454882.58,10243406181.92,-137.65,-4.49
ethereum,2024-07-09,3016.08,362836336467.42,20819810746.37,87.48,2.99
ethereum,2024-07-10,3064.09,368733224976.2,14902982165.59,48.01,1.59
ethereum,2024-07-11,3099.71,372867773189.4,14523237728.6,35.62,1.16
ethereum,2024-07-12,3102.09,372384838887.21,14058546522.74,2.38,0.08
ethereum,2024-07-13,3132.98,376300269815.65,12435435678.41,30.89,1.0
ethereum,2024-07-14,3173.5,381711250543.15,7830621980.64,40.52,1.29
ethereum,2024-07-15,3252.65,391583812600.58,9867236520.52,79.15,2.49
ethereum,2024-07-16,3488.54,419316550609.62,18368344859.43,235.88,7.25
ethereum,2024-07-17,3446.77,414703698412.09,21040427365.59,-41.77,-1.2
ethereum,2024-07-18,3389.44,407908628077.67,16978839263.79,-57.32,-1.66
ethereum,2024-07-19,3428.55,412233122047.32,14884776298.26,39.11,1.15
ethereum,2024-07-20,3505.22,421392010127.03,17784761899.55,76.67,2.24
ethereum,2024-07-21,3522.8,423550664963.51,9427844289.71,17.58,0.5
ethereum,2024-07-22,3533.12,424780865928.97,13378492000.41,10.32,0.29
ethereum,2024-07-23,3443.07,413961610216.08,18304154013.69,-90.04,-2.55
ethereum,2024-07-24,3482.98,418879212976.9,25079221799.23,39.91,1.16
ethereum,2024-07-25,3336.38,401152738546.73,15765758234.56,-146.6,-4.21
ethereum,2024-07-26,3173.76,381782355331.57,25890826733.28,-162.62,-4.87
ethereum,2024-07-27,3278.19,394189879099.26,15169277359.83,104.42,3.29
ethereum,2024-07-28,3254.61,391424161950.52,14496971021.24,-23.58,-0.72
ethereum,2024-07-29,3272.85,393579006059.78,7818233563.24,18.24,0.56
ethereum,2024-07-30,3316.94,399239444647.54,18452148650.91,44.09,1.35
ethereum,2024-07-31,3276.98,393942961780.89,13805865977.52,-39.96,-1.2
ethereum,2024-08-01,3233.08,388633791826.87,16143420325.48,-43.9,-1.34
ethereum,2024-08-02,3204.25,385340171208.76,17786413332.13,-28.83,-0.89
ethereum,2024-08-03,2983.3,358543505038.74,18785849199.9,-220.95,-6.9
ethereum,2024-08-04,2906.72,349395441871.31,17701956694.58,-76.59,-2.57
ethereum,2024-08-05,2682.44,323403607818.75,22171247833.14,-224.28,-7.72
ethereum,2024-08-06,2415.63,291245061884.56,73571034926.63,-266.81,-9.95
ethereum,2024-08-07,2455.51,295168597349.08,27613148149.8,39.88,1.65
ethereum,2024-08-08,2341.59,282098261495.4,24968091142.09,-113.92,-4.64
ethereum,2024-08-09,2685.01,322827381254.32,24290512619.84,343.42,14.67
ethereum,2024-08-10,2602.18,312353537574.91,18077335701.98,-82.83,-3.08
ethereum,2024-08-11,2608.04,313697482213.24,8849019546.65,5.85,0.22
ethereum,2024-08-12,2558.79,307740266021.37,12624674028.08,-49.24,-1.89
ethereum,2024-08-13,2726.78,328070186437.41,22670968464.85,167.99,6.57
ethereum,2024-08-14,2703.55,325002180894.28,16366799383.62,-23.23,-0.85
ethereum,2024-08-15,2662.78,320231285058.06,15887432311.73,-40.77,-1.51
ethereum,2024-08-16,2569.86,309002097789.99,15498476343.41,-92.92,-3.49
ethereum,2024-08-17,2592.25,311786461030.44,12841847017.27,22.39,0.87
