coin,timestamp,price,market_cap,volume,price_change_24h,price_change_percentage_24h
solana,2024-07-01,146.43,67675125124.6,1780441975.61,,
solana,2024-07-02,146.35,67673065514.69,2006890597.15,-0.08,-0.06
solana,2024-07-03,153.64,71136229946.13,2426999726.93,7.29,4.98
solana,2024-07-04,140.72,65082723830.86,3214187013.5,-12.92,-8.41
solana,2024-07-05,127.93,59426641950.27,3791021538.33,-12.79,-9.09
solana,2024-07-06,134.42,62269271952.28,5884811589.17,6.49,5.07
solana,2024-07-07,143.1,66217813182.98,2489336508.55,8.68,6.46
solana,2024-07-08,131.85,61059941285.77,2189333148.68,-11.25,-7.86
solana,2024-07-09,139.32,64537904951.41,4080257370.58,7.46,5.66
solana,2024-07-10,141.46,65737860357.99,2918129762.13,2.14,1.54
solana,2024-07-11,141.92,65837743099.4,2267417219.92,0.47,0.33
solana,2024-07-12,136.07,63095416379.1,2968505762.68,-5.85,-4.12
solana,2024-07-13,139.36,64601740344.99,2492119021.14,3.29,2.42
solana,2024-07-14,141.68,65828079252.62,1319666582.89,2.31,1.66
solana,2024-07-15,147.95,68729116144.65,2482805432.38,6.28,4.43
solana,2024-07-16,159.92,74102104615.58,3109645281.75,11.97,8.09
solana,2024-07-17,160.78,74732938819.62,3487082045.51,0.86,0.54
solana,2024-07-18,155.4,72209875941.81,2719714237.76,-5.38,-3.35
solana,2024-07-19,159.01,73852444296.55,2617149109.5,3.61,2.32
solana,2024-07-20,169.22,78561627383.89,4472680911.65,10.2,6.42
solana,2024-07-21,174.1,80854762308.14,2111299630.43,4.89,2.89
solana,2024-07-22,184.45,85429935644.32,4015804659.37,10.35,5.94
solana,2024-07-23,178.98,83131628699.87,3355000351.4,-5.47,-2.97
solana,2024-07-24,173.03,80374938686.51,3948271727.5,-5.95,-3.32
solana,2024-07-25,178.02,82711015097.19,3972470238.3,4.99,2.88
solana,2024-07-26,171.7,79757334803.66,5008783465.49,-6.32,-3.55
solana,2024-07-27,183.08,85018101278.75,3292350432.04,11.39,6.63
solana,2024-07-28,184.67,85827248193.05,4036791400.47,1.58,0.87
solana,2024-07-29,184.79,85867074048.96,2337276737.24,0.12,0.06
solana,2024-07-30,182.54,84999082716.62,4625426991.76,-2.24,-1.21
solana,2024-07-31,179.04,83221052241.07,3282604319.0,-3.5,-1.92
solana,2024-08-01,171.97,79950614578.1,3584555338.84,-7.07,-3.95
solana,2024-08-02,167.89,78136018435.1,5413794223.97,-4.09,-2.38
solana,2024-08-03,152.41,70897108855.05,5270915155.69,-15.48,-9.22
solana,2024-08-04,143.13,66539693653.1,4326247996.57,-9.28,-6.09
solana,2024-08-05,137.56,64069506751.66,5254540267.45,-5.57,-3.89
solana,2024-08-06,129.7,60385581799.65,16968925434.66,-7.86,-5.71
solana,2024-08-07,143.64,66888724877.83,6966233301.52,13.95,10.75
solana,2024-08-08,145.14,67833484660.88,6502915916.99,1.5,1.04
solana,2024-08-09,163.05,75605989422.62,6758056552.04,17.9,12.34
solana,2024-08-10,156.48,72748882742.72,3855610171.47,-6.57,-4.03
solana,2024-08-11,153.89,71780208858.93,2125943908.78,-2.59,-1.65
solana,2024-08-12,141.47,65970515368.13,3023585724.11,-12.42,-8.07
solana,2024-08-13,146.52,68410924515.65,4393744279.48,5.05,3.57
solana,2024-08-14,146.77,68523383455.01,2815066563.41,0.25,0.17
solana,2024-08-15,143.87,67161503325.74,3299796280.89,-2.9,-1.98
solana,2024-08-16,142.88,66618864444.49,3650888706.8,-0.99,-0.69
solana,2024-08-17,139.12,64863103906.71,3346024393.68,-3.76,-2.63
solana,2024-08-18,141.69,66056074283.67,1510724675.1,2.57,1.84
solana,2024-08-19,142.47,66473085149.04,2449782934.95,0.78,0.55
solana,2024-08-20,144.57,67367254143.21,2725980607.72,2.11,1.48
solana,2024-08-21,142.52,66476153688.21,2571440736.57,-2.06,-1.42
solana,2024-08-22,142.52,66440969750.36,2339708556.81,0.01,0.01
solana,2024-08-23,143.25,66761547034.59,1680863862.99,0.73,0.51
solana,2024-08-24,152.93,71446953314.36,3449069389.13,9.67,6.75
solana,2024-08-25,160.64,74722638007.98,3689677142.44,7.71,5.04
solana,2024-08-26,158.63,73951133109.27,2152634485.42,-2.01,-1.25
solana,2024-08-27,157.04,73245258412.53,3208083624.89,-1.59,-1.0
solana,2024-08-28,146.82,68457640743.59,3533217490.51,-10.22,-6.5
solana,2024-08-29,143.83,67227955365.66,3755527847.85,-2.99,-2.04
solana,2024-08-30,139.93,65235562102.47,2485174112.85,-3.91,-2.72
solana,2024-08-31,138.22,64456415887.36,3520846804.22,-1.71,-1.22
